Brand Name,Generic Name,manufacturer,2012 Total Spending,2012 Total Dosage Units,2012 Total Claims,"2012 Total 
Beneficiaries",2012 Average Spending Per Dosage Unit (Weighted),"2012 Average 
Spending Per Claim","2012 Average 
Spending Per Beneficiary",2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,"2013 Total 
Beneficiaries",2013 Average Spending Per Dosage Unit (Weighted),"2013 Average 
Spending Per Claim","2013 Average 
Spending Per Beneficiary",2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,"2014 Total 
Beneficiaries",2014 Average Spending Per Dosage Unit (Weighted),"2014 Average 
Spending Per Claim","2014 Average 
Spending Per Beneficiary",2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,"2015 Total 
Beneficiaries",2015 Average Spending Per Dosage Unit (Weighted),"2015 Average 
Spending Per Claim","2015 Average 
Spending Per Beneficiary",2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,"2016 Total 
Beneficiaries",2016 Average Spending Per Dosage Unit (Weighted),"2016 Average 
Spending Per Claim","2016 Average 
Spending Per Beneficiary",Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
Acetic Acid ,Acetic Acid ,B.Braun ,"$17,202.21 ","3,490,165","1,861",506,$0.00 ,$9.24 ,$34.00 ,"$17,258.42 ","3,571,672","1,893",537,$0.00 ,$9.12 ,$32.14 ,"$20,438.88 ","4,253,865","2,093",575,$0.00 ,$9.77 ,$35.55 ,"$23,449.90 ","4,471,320","2,360",650,$0.01 ,$9.94 ,$36.08 ,"$22,439.60 ","3,912,396","2,211",660,$0.01 ,$10.15 ,$34.00 ,9.36%,3.86%
Acetic Acid ,Acetic Acid ,Baxter Healthca ,"$173,562.34 ","14,872,519","8,332","2,153",$0.01 ,$20.83 ,$80.61 ,"$84,064.58 ","13,601,657","8,398","2,158",$0.01 ,$10.01 ,$38.95 ,"$84,541.59 ","13,617,625","8,468","2,209",$0.01 ,$9.98 ,$38.27 ,"$92,314.60 ","14,803,965","8,826","2,321",$0.01 ,$10.46 ,$39.77 ,"$106,925.02 ","14,390,315","9,045","2,414",$0.01 ,$11.82 ,$44.29 ,19.16%,-10.67%
Acetic Acid ,Acetic Acid ,Hi-Tech/Akorn C ,"$136,598.86 ","69,287","4,442","3,470",$1.97 ,$30.75 ,$39.37 ,"$162,418.56 ","84,215","5,408","4,199",$1.93 ,$30.03 ,$38.68 ,"$117,151.27 ","64,572","4,108","3,030",$1.81 ,$28.52 ,$38.66 ,"$105,195.90 ","61,712","3,948","2,958",$1.70 ,$26.65 ,$35.56 ,"$197,356.10 ","121,212","7,562","6,153",$1.63 ,$26.10 ,$32.07 ,-4.48%,-4.67%
Acetic Acid ,Acetic Acid ,Hospira ,"$201,193.51 ","22,387,185","10,413","2,213",$0.01 ,$19.32 ,$90.91 ,"$277,005.20 ","20,679,125","14,864","2,809",$0.01 ,$18.64 ,$98.61 ,"$320,940.39 ","22,087,428","15,492","2,988",$0.01 ,$20.72 ,$107.41 ,"$281,840.16 ","20,508,557","14,827","2,963",$0.01 ,$19.01 ,$95.12 ,"$319,055.50 ","21,885,497","15,598","3,239",$0.01 ,$20.45 ,$98.50 ,6.08%,12.86%
Acetic Acid ,Acetic Acid ,Morton Grove Ph ,"$354,746.20 ","190,407","11,487","8,917",$1.86 ,$30.88 ,$39.78 ,"$335,949.53 ","186,463","11,107","8,699",$1.80 ,$30.25 ,$38.62 ,"$244,388.90 ","148,492","8,670","6,830",$1.65 ,$28.19 ,$35.78 ,"$254,009.39 ","150,860","9,499","7,525",$1.68 ,$26.74 ,$33.76 ,"$314,772.78 ","191,018","12,055","9,750",$1.65 ,$26.11 ,$32.28 ,-2.13%,-3.02%
Acetic Acid ,Acetic Acid ,Qualitest ,"$333,521.51 ","154,163","9,913","7,836",$2.16 ,$33.64 ,$42.56 ,"$375,019.22 ","180,573","11,507","9,368",$2.08 ,$32.59 ,$40.03 ,"$444,560.20 ","239,529","15,034","12,052",$1.86 ,$29.57 ,$36.89 ,"$454,289.93 ","270,098","17,171","13,748",$1.68 ,$26.46 ,$33.04 ,"$326,174.35 ","213,563","13,589","11,351",$1.53 ,$24.00 ,$28.74 ,-9.19%,-8.34%
Acetic Acid-Aluminum ,Acetic Acid/Aluminum Acetate ,Valeant ,"$329,945.43 ","329,502","5,307","3,893",$1.00 ,$62.17 ,$84.75 ,"$319,470.77 ","324,115","5,283","3,868",$0.99 ,$60.47 ,$82.59 ,"$254,718.58 ","268,015","4,393","3,227",$0.95 ,$57.98 ,$78.93 ,"$272,722.06 ","284,784","4,633","3,348",$0.96 ,$58.87 ,$81.46 ,"$254,673.41 ","273,549","4,454","3,335",$0.93 ,$57.18 ,$76.36 ,-2.78%,-1.80%
Acetylcysteine ,Acetylcysteine ,Amer. Regent ,"$741,285.48 ","861,562","13,321","5,495",$0.86 ,$55.65 ,$134.90 ,"$58,558.33 ","75,253","1,524",643,$0.79 ,$38.42 ,$91.07 ,"$66,168.74 ","76,668","1,395",366,$0.86 ,$47.43 ,$180.79 ,"$139,056.12 ","121,160","1,831",645,$1.15 ,$75.95 ,$215.59 ,"$411,297.67 ","322,458","4,222","1,309",$1.28 ,$97.42 ,$314.21 ,11.37%,10.46%
Acetylcysteine ,Acetylcysteine ,App/Fresenius K ,"$39,795.24 ","37,694",437,272,$0.79 ,$91.06 ,$146.31 ,"$544,377.33 ","360,491","5,262","2,787",$1.38 ,$103.45 ,$195.33 ,"$530,897.91 ","571,803","8,610","3,659",$0.92 ,$61.66 ,$145.09 ,"$588,609.25 ","644,835","10,022","3,680",$0.87 ,$58.73 ,$159.95 ,"$767,186.54 ","918,222","12,838","4,031",$0.84 ,$59.76 ,$190.32 ,-2.92%,1.70%
Acetylcysteine ,Acetylcysteine ,Hospira ,"$61,287.10 ","242,397","2,836","1,402",$0.25 ,$21.61 ,$43.71 ,"$43,187.50 ","143,964","1,995","1,036",$0.30 ,$21.65 ,$41.69 ,"$244,949.09 ","771,326","8,895","3,002",$0.32 ,$27.54 ,$81.60 ,"$367,769.41 ","1,048,601","12,409","3,853",$0.35 ,$29.64 ,$95.45 ,"$344,282.26 ","913,506","10,586","3,280",$0.38 ,$32.52 ,$104.96 ,7.55%,10.49%
Acetylcysteine ,Acetylcysteine ,Perrigo Co. ,  ,  ,  ,  ,  ,  ,  ,"$820,062.76 ","136,749","1,613","1,022",$6.00 ,$508.41 ,$802.41 ,"$521,640.01 ","90,094","1,001",560,$5.79 ,$521.12 ,$931.50 ,"$240,954.96 ","49,228",516,229,$4.89 ,$466.97 ,"$1,052.21 ","$200,628.20 ","40,108",416,182,$5.00 ,$482.28 ,"$1,102.35 ",2.20%,-5.87%
Acetylcysteine ,Acetylcysteine ,Roxane Labs. ,"$168,324.23 ","228,907","4,267","2,163",$0.74 ,$39.45 ,$77.82 ,"$25,443.34 ","37,517",807,473,$0.68 ,$31.53 ,$53.79 ,"$11,272.58 ","18,859",322,174,$0.60 ,$35.01 ,$64.78 ,"$11,063.04 ","21,738",304,93,$0.51 ,$36.39 ,$118.96 ,"$3,685.35 ","6,665",152,49,$0.55 ,$24.25 ,$75.21 ,8.65%,-6.88%
Aciphex ,Rabeprazole Sodium ,Eisai Inc. ,"$107,544,181.48 ","12,622,972","293,590","60,644",$8.52 ,$366.31 ,"$1,773.37 ","$117,371,070.36 ","11,468,006","228,394","60,087",$10.23 ,$513.90 ,"$1,953.35 ","$32,473,502.72 ","2,768,705","49,210","11,838",$11.73 ,$659.90 ,"$2,743.16 ","$30,715,984.10 ","2,200,650","36,331","7,177",$13.96 ,$845.45 ,"$4,279.78 ","$27,837,299.79 ","1,797,313","28,163","5,501",$15.49 ,$988.44 ,"$5,060.41 ",10.97%,16.12%
Aciphex Sprinkle ,Rabeprazole Sodium ,FSC Labs ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$41,558.34 ","3,117",60,30,$13.33 ,$692.64 ,"$1,385.28 ","$170,139.52 ","10,788",186,56,$15.77 ,$914.73 ,"$3,038.21 ",18.29%,18.29%
Acitretin ,Acitretin ,Prasco Labs ,  ,  ,  ,  ,  ,  ,  ,"$4,494,780.90 ","167,677","4,631","1,955",$26.97 ,$970.59 ,"$2,299.12 ","$15,152,118.03 ","588,718","16,300","4,831",$25.83 ,$929.58 ,"$3,136.44 ","$12,781,629.75 ","531,100","15,209","3,850",$24.21 ,$840.40 ,"$3,319.90 ","$5,126,228.24 ","249,963","7,635","2,665",$20.57 ,$671.41 ,"$1,923.54 ",-15.02%,-8.63%
Acitretin ,Acitretin ,Sigmapharm Labo ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$122,224.85 ","5,071",152,121,$24.15 ,$804.11 ,"$1,010.12 ","$4,944,485.48 ","238,815","6,542","1,915",$20.75 ,$755.81 ,"$2,581.98 ",-14.10%,-14.10%
Acitretin ,Acitretin ,Teva USA ,  ,  ,  ,  ,  ,  ,  ,"$5,767,178.09 ","223,421","5,713","2,534",$25.97 ,"$1,009.48 ","$2,275.92 ","$18,016,055.07 ","722,657","18,754","5,748",$25.12 ,$960.65 ,"$3,134.32 ","$18,020,147.23 ","751,217","19,000","4,936",$24.17 ,$948.43 ,"$3,650.76 ","$11,125,013.16 ","540,227","13,411","3,878",$20.79 ,$829.54 ,"$2,868.75 ",-14.01%,-7.15%
Actemra ,Tocilizumab ,"Genentech, Inc. ","$4,127,018.09 ","59,855","2,770",359,$68.04 ,"$1,489.90 ","$11,495.87 ","$6,774,144.99 ","88,211","4,052",649,$100.79 ,"$1,671.80 ","$10,437.82 ","$24,667,721.03 ","113,241","12,040","2,187",$520.30 ,"$2,048.81 ","$11,279.25 ","$43,506,165.44 ","119,325","17,896","2,925",$677.15 ,"$2,431.06 ","$14,873.90 ","$61,489,156.80 ","137,157","22,165","3,499",$784.76 ,"$2,774.16 ","$17,573.35 ",15.89%,84.29%
Acthib ,Haemoph B Poly Conj-Tet Tox/PF ,Sanofi-Pasteur ,"$14,332.74 ",500,404,377,$28.67 ,$35.48 ,$38.02 ,"$14,555.67 ",368,375,333,$39.54 ,$38.82 ,$43.71 ,"$21,933.20 ",602,597,544,$36.46 ,$36.74 ,$40.32 ,"$26,371.43 ",718,679,588,$36.73 ,$38.84 ,$44.85 ,"$7,638.78 ",173,181,172,$44.15 ,$42.20 ,$44.41 ,20.22%,11.40%
Actigall ,Ursodiol ,Actavis/Allerga ,"$543,614.54 ","93,441",791,145,$5.82 ,$687.25 ,"$3,749.07 ","$653,386.51 ","103,791",833,169,$6.30 ,$784.38 ,"$3,866.19 ","$777,299.54 ","117,564",860,187,$6.61 ,$903.84 ,"$4,156.68 ","$835,932.32 ","119,153",865,190,$7.02 ,$966.40 ,"$4,399.64 ","$784,865.18 ","103,610",753,157,$7.58 ,"$1,042.32 ","$4,999.14 ",7.98%,6.82%
Actimmune ,"Interferon Gamma-1b,Recomb. ",Horizon Pharma ,  ,  ,  ,  ,  ,  ,  ,"$608,973.50 ",175,21,21,"$3,479.85 ","$28,998.74 ","$28,998.74 ","$18,462,873.52 ","4,439",543,59,"$4,159.24 ","$34,001.61 ","$312,930.06 ","$24,298,651.79 ","3,846",505,62,"$6,318.72 ","$48,116.14 ","$391,913.74 ","$22,560,662.62 ","3,114",452,64,"$7,246.08 ","$49,912.97 ","$352,510.35 ",14.68%,27.70%
Actiq ,Fentanyl Citrate ,Teva USA ,"$3,265,525.17 ","23,850",181,21,$136.92 ,"$18,041.58 ","$155,501.20 ","$2,763,016.20 ","20,120",158,16,$137.33 ,"$17,487.44 ","$172,688.51 ","$1,228,842.25 ","9,030",75,  ,$136.08 ,"$16,384.56 ",  ,"$1,562,460.91 ","11,220",84,  ,$139.26 ,"$18,600.73 ",  ,"$1,828,655.21 ","11,790",80,  ,$155.10 ,"$22,858.19 ",  ,11.38%,3.17%
Activella ,Estradiol/Norethindrone Acet ,Novo Nordisk ,"$853,728.09 ","232,352","5,857","1,357",$3.68 ,$145.76 ,$629.13 ,"$830,173.68 ","192,618","4,724","1,056",$4.32 ,$175.74 ,$786.15 ,"$642,135.67 ","122,594","2,990",719,$5.25 ,$214.76 ,$893.10 ,"$654,773.77 ","98,478","2,373",483,$6.67 ,$275.93 ,"$1,355.64 ","$428,238.82 ","57,926","1,435",372,$7.40 ,$298.42 ,"$1,151.18 ",10.96%,19.09%
Actonel ,Risedronate Sodium ,Actavis/Allerga ,"$176,545,624.39 ","4,128,887","944,506","200,343",$73.08 ,$186.92 ,$881.22 ,"$172,256,361.32 ","3,507,299","793,957","166,086",$84.21 ,$216.96 ,"$1,037.15 ","$151,127,143.71 ","2,477,989","497,822","118,998",$102.53 ,$303.58 ,"$1,270.00 ","$45,287,749.15 ","797,304","129,808","39,646",$85.58 ,$348.88 ,"$1,142.30 ","$8,750,172.97 ","112,627","22,130","5,951",$138.94 ,$395.40 ,"$1,470.37 ",62.35%,17.42%
Actoplus Met ,Pioglitazone HCl/Metformin HCl ,Takeda Pharmace ,"$74,942,715.35 ","16,096,091","217,302","51,343",$4.66 ,$344.88 ,"$1,459.65 ","$7,078,323.12 ","1,298,708","17,841","4,935",$5.45 ,$396.74 ,"$1,434.31 ","$1,394,246.14 ","212,245","2,583",921,$6.57 ,$539.78 ,"$1,513.84 ","$924,537.31 ","116,352","1,351",321,$7.95 ,$684.34 ,"$2,880.18 ","$733,373.29 ","83,887",952,216,$8.74 ,$770.35 ,"$3,395.25 ",10.03%,17.06%
Actoplus Met XR ,Pioglitazone HCl/Metformin HCl ,Takeda Pharmace ,"$2,361,624.31 ","377,011","6,199","1,594",$6.80 ,$380.97 ,"$1,481.57 ","$2,982,026.50 ","420,808","5,606","1,478",$7.65 ,$531.93 ,"$2,017.61 ","$2,711,238.52 ","313,926","4,029","1,110",$9.31 ,$672.93 ,"$2,442.56 ","$2,801,788.81 ","270,702","3,356",878,$11.28 ,$834.86 ,"$3,191.10 ","$2,754,835.69 ","246,672","2,976",732,$12.16 ,$925.68 ,"$3,763.44 ",7.85%,15.65%
Actos ,Pioglitazone HCl ,Takeda Pharmace ,"$655,782,601.30 ","75,434,845","1,937,015","448,908",$8.68 ,$338.55 ,"$1,460.84 ","$34,240,903.06 ","3,481,531","86,671","25,932",$9.84 ,$395.07 ,"$1,320.41 ","$6,975,591.33 ","579,784","13,226","4,097",$12.12 ,$527.42 ,"$1,702.61 ","$4,854,885.56 ","331,403","6,756","1,547",$14.75 ,$718.60 ,"$3,138.26 ","$3,850,687.67 ","240,651","4,711","1,055",$16.09 ,$817.38 ,"$3,649.94 ",9.07%,16.66%
Acular ,Ketorolac Tromethamine ,Allergan Inc. ,"$199,513.02 ","8,731","1,458",807,$22.85 ,$136.84 ,$247.23 ,"$188,135.47 ","6,307",995,506,$29.83 ,$189.08 ,$371.81 ,"$139,160.06 ","4,440",706,359,$31.34 ,$197.11 ,$387.63 ,"$105,496.14 ","2,991",451,202,$35.27 ,$233.92 ,$522.26 ,"$107,631.23 ","2,775",439,204,$38.79 ,$245.17 ,$527.60 ,9.97%,14.14%
Acular Ls ,Ketorolac Tromethamine ,Allergan Inc. ,"$287,661.36 ","11,826","2,161","1,199",$24.32 ,$133.11 ,$239.92 ,"$247,413.88 ","7,847","1,375",772,$31.53 ,$179.94 ,$320.48 ,"$346,808.81 ","10,925","1,978","1,253",$31.74 ,$175.33 ,$276.78 ,"$127,423.16 ","3,421",573,277,$37.25 ,$222.38 ,$460.01 ,"$91,009.22 ","2,131",347,161,$42.71 ,$262.27 ,$565.27 ,14.66%,15.11%
Acuvail ,Ketorolac Tromethamine/PF ,Allergan Inc. ,"$1,572,375.32 ","325,393","9,245","6,304",$4.83 ,$170.08 ,$249.43 ,"$1,204,871.13 ","199,594","5,291","3,337",$6.04 ,$227.72 ,$361.06 ,"$649,436.21 ","99,095","2,462","1,449",$6.55 ,$263.78 ,$448.20 ,"$520,734.95 ","70,525","1,655",877,$7.38 ,$314.64 ,$593.77 ,"$481,254.14 ","56,785","1,320",630,$8.48 ,$364.59 ,$763.90 ,14.78%,15.08%
Acyclovir ,Acyclovir ,Actavis Pharma ,"$196,092.90 ","945,433","2,170","1,129",$0.21 ,$90.37 ,$173.69 ,"$153,828.49 ","758,764","1,780","1,123",$0.20 ,$86.42 ,$136.98 ,"$8,209,381.23 ","1,914,002","16,499","11,828",$14.42 ,$497.57 ,$694.06 ,"$11,007,808.61 ","1,516,989","21,540","14,481",$15.08 ,$511.04 ,$760.16 ,"$9,132,962.09 ","1,589,942","19,506","12,182",$12.98 ,$468.21 ,$749.71 ,-13.93%,181.24%
Acyclovir ,Acyclovir ,Ahp ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,$286.58 ,"1,055",23,21,$0.27 ,$12.46 ,$13.65 ,"$1,356.66 ","6,258",134,78,$0.22 ,$10.12 ,$17.39 ,$895.63 ,"3,271",98,69,$0.27 ,$9.14 ,$12.98 ,26.30%,0.40%
Acyclovir ,Acyclovir ,Amneal Pharmace ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$2,110,838.24 ","121,428","3,831","3,323",$17.38 ,$550.99 ,$635.22 ,"$11,019,982.56 ","663,848","24,178","18,299",$16.60 ,$455.79 ,$602.22 ,"$15,138,659.14 ","1,004,018","42,361","30,078",$15.08 ,$357.37 ,$503.31 ,-9.17%,-6.87%
Acyclovir ,Acyclovir ,Apotex Corp ,"$1,426,177.45 ","3,625,543","58,661","38,301",$0.41 ,$24.31 ,$37.24 ,"$3,498,284.82 ","11,324,155","167,661","83,316",$0.32 ,$20.87 ,$41.99 ,"$3,719,111.23 ","14,646,640","219,141","99,930",$0.27 ,$16.97 ,$37.22 ,"$4,421,097.39 ","21,715,862","311,492","130,310",$0.21 ,$14.19 ,$33.93 ,"$5,001,517.87 ","25,424,336","364,034","152,001",$0.20 ,$13.74 ,$32.90 ,-4.70%,-16.17%
Acyclovir ,Acyclovir ,Avpak ,"$2,578.35 ","7,350",130,  ,$0.35 ,$19.83 ,  ,"$1,083.41 ","2,571",66,40,$0.42 ,$16.42 ,$27.09 ,$703.74 ,"1,986",62,33,$0.35 ,$11.35 ,$21.33 ,"$1,444.08 ","5,043",121,37,$0.29 ,$11.93 ,$39.03 ,"$1,509.64 ","3,991",72,18,$0.38 ,$20.97 ,$83.87 ,32.10%,1.90%
Acyclovir ,Acyclovir ,Camber Pharmace ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$653,895.05 ","2,650,076","43,081","26,421",$0.25 ,$15.18 ,$24.75 ,"$2,421,282.51 ","10,258,480","179,398","82,013",$0.24 ,$13.50 ,$29.52 ,"$6,484,910.38 ","27,055,980","432,297","192,990",$0.25 ,$15.00 ,$33.60 ,1.65%,-0.56%
Acyclovir ,Acyclovir ,Carlsbad Tech ,"$6,116,549.38 ","16,484,325","278,989","137,464",$0.39 ,$21.92 ,$44.50 ,"$4,766,693.10 ","14,527,187","235,874","110,976",$0.34 ,$20.21 ,$42.95 ,"$5,610,054.06 ","18,241,218","299,462","144,229",$0.32 ,$18.73 ,$38.90 ,"$5,029,392.47 ","17,788,321","285,912","131,875",$0.30 ,$17.59 ,$38.14 ,"$1,525,203.29 ","5,460,880","90,749","55,563",$0.29 ,$16.81 ,$27.45 ,-2.70%,-7.20%
Acyclovir ,Acyclovir ,Dava Pharmaceut ,"$10,369.55 ","26,534",380,272,$0.42 ,$27.29 ,$38.12 ,"$1,003.98 ","3,295",76,43,$0.32 ,$13.21 ,$23.35 ,$764.89 ,"2,716",76,45,$0.31 ,$10.06 ,$17.00 ,"$37,811.09 ","117,016","2,400","1,664",$0.32 ,$15.75 ,$22.72 ,"$6,071.56 ","21,432",542,390,$0.29 ,$11.20 ,$15.57 ,-11.21%,-8.85%
Acyclovir ,Acyclovir ,"Gsms, Inc. ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,$253.99 ,920,22,21,$0.28 ,$11.55 ,$12.09 ,$806.38 ,"2,531",76,39,$0.32 ,$10.61 ,$20.68 ,$580.43 ,"1,779",66,34,$0.33 ,$8.79 ,$17.07 ,2.41%,8.71%
Acyclovir ,Acyclovir ,Heritage Pharma ,"$379,558.62 ","1,045,546","12,340","6,682",$0.36 ,$30.76 ,$56.80 ,"$646,901.14 ","1,800,991","19,412","9,949",$0.36 ,$33.32 ,$65.02 ,"$1,350,757.70 ","4,745,305","86,242","42,350",$0.29 ,$15.66 ,$31.90 ,"$1,675,037.74 ","6,795,783","122,299","57,159",$0.25 ,$13.70 ,$29.30 ,"$1,841,068.16 ","7,296,895","131,930","59,804",$0.26 ,$13.95 ,$30.79 ,1.79%,-8.17%
Acyclovir ,Acyclovir ,Hi-Tech/Akorn C ,"$354,222.22 ","1,619,571","3,703","1,889",$0.22 ,$95.66 ,$187.52 ,"$259,160.46 ","1,252,919","2,899","1,654",$0.21 ,$89.40 ,$156.69 ,"$171,637.72 ","599,719","1,479","1,011",$0.29 ,$116.05 ,$169.77 ,"$582,874.92 ","977,305","2,193","1,237",$0.60 ,$265.79 ,$471.20 ,"$510,891.26 ","824,777","1,901","1,062",$0.62 ,$268.75 ,$481.07 ,3.86%,29.73%
Acyclovir ,Acyclovir ,Major Pharmaceu ,$120.49 ,698,12,  ,$0.18 ,$10.04 ,  ,$166.11 ,523,11,  ,$0.32 ,$15.10 ,  ,"$2,330.54 ","7,704",168,73,$0.30 ,$13.87 ,$31.93 ,"$3,738.56 ","15,237",306,132,$0.25 ,$12.22 ,$28.32 ,"$9,956.11 ","49,249",754,442,$0.22 ,$13.20 ,$22.53 ,-12.70%,5.15%
Acyclovir ,Acyclovir ,Mylan ,"$3,614,691.35 ","9,269,932","164,149","85,934",$0.40 ,$22.02 ,$42.06 ,"$18,305,386.07 ","9,941,084","191,323","91,744",$3.88 ,$95.68 ,$199.53 ,"$30,923,162.12 ","8,390,057","176,217","88,108",$7.33 ,$175.48 ,$350.97 ,"$23,277,666.30 ","2,036,203","73,051","51,140",$14.39 ,$318.65 ,$455.18 ,"$18,293,837.46 ","1,252,365","54,090","36,008",$14.82 ,$338.21 ,$508.05 ,2.94%,146.25%
Acyclovir ,Acyclovir ,Mylan Instituti ,  ,  ,  ,  ,  ,  ,  ,"$3,785.28 ",187,26,  ,$20.24 ,$145.59 ,  ,"$281,182.16 ","14,671","1,811","1,531",$19.17 ,$155.26 ,$183.66 ,"$448,828.66 ","25,302","3,456","2,809",$17.74 ,$129.87 ,$159.78 ,"$398,972.29 ","25,445","3,702","2,952",$15.68 ,$107.77 ,$135.15 ,-11.61%,-8.16%
Acyclovir ,Acyclovir ,Oceanside Pharm ,  ,  ,  ,  ,  ,  ,  ,"$14,710,394.98 ","766,343","24,261","18,402",$19.20 ,$606.34 ,$799.39 ,"$13,045,149.04 ","695,307","22,133","16,231",$18.76 ,$589.40 ,$803.72 ,"$1,353,843.48 ","77,959","2,528","1,646",$17.37 ,$535.54 ,$822.51 ,"$100,483.57 ","6,170",199,139,$16.29 ,$504.94 ,$722.90 ,-6.22%,-5.33%
Acyclovir ,Acyclovir ,Qualitest ,"$369,683.85 ","1,204,884","16,073","11,349",$0.31 ,$23.00 ,$32.57 ,"$661,775.00 ","2,092,913","34,497","15,613",$0.32 ,$19.18 ,$42.39 ,"$22,639.40 ","86,564","1,744",985,$0.26 ,$12.98 ,$22.98 ,"$68,079.38 ","342,117","5,840","3,369",$0.20 ,$11.66 ,$20.21 ,"$11,563.28 ","59,606","1,158",753,$0.19 ,$9.99 ,$15.36 ,-2.51%,-10.83%
Acyclovir ,Acyclovir ,Ranbaxy Pharmac ,"$1,769,154.11 ","5,338,744","90,704","45,668",$0.33 ,$19.50 ,$38.74 ,"$844,433.34 ","2,793,801","48,542","20,301",$0.30 ,$17.40 ,$41.60 ,"$665,375.13 ","2,743,010","46,128","18,329",$0.24 ,$14.42 ,$36.30 ,"$354,110.91 ","1,755,757","29,583","14,634",$0.20 ,$11.97 ,$24.20 ,"$41,610.92 ","203,324","3,929","1,721",$0.20 ,$10.59 ,$24.18 ,1.47%,-11.35%
Acyclovir ,Acyclovir ,Ranbaxy/Sun Pha ,"$867,913.74 ","1,962,674","42,129","28,164",$0.47 ,$20.60 ,$30.82 ,"$1,366,780.88 ","3,468,065","74,626","47,826",$0.40 ,$18.32 ,$28.58 ,"$291,125.50 ","1,172,318","20,664","13,043",$0.28 ,$14.09 ,$22.32 ,"$83,443.61 ","301,358","6,478","3,875",$0.29 ,$12.88 ,$21.53 ,"$27,442.78 ","99,522","2,203","1,368",$0.29 ,$12.46 ,$20.06 ,-2.70%,-11.60%
Acyclovir ,Acyclovir ,Renaissance/Myl ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$2,444.34 ","7,541",17,17,$0.32 ,$143.78 ,$143.78 ,"$189,538.76 ","338,807",675,445,$0.56 ,$280.80 ,$425.93 ,"$364,006.03 ","646,083","1,425",838,$0.56 ,$255.44 ,$434.37 ,0.71%,31.84%
Acyclovir ,Acyclovir ,Teva USA ,"$9,425,506.82 ","30,155,165","485,523","230,469",$0.34 ,$19.41 ,$40.90 ,"$10,084,466.91 ","34,435,666","572,609","244,128",$0.31 ,$17.61 ,$41.31 ,"$9,144,389.67 ","36,312,944","587,296","248,865",$0.26 ,$15.57 ,$36.74 ,"$7,420,915.66 ","33,819,185","524,802","227,286",$0.23 ,$14.14 ,$32.65 ,"$6,385,752.34 ","30,260,588","461,912","199,876",$0.22 ,$13.82 ,$31.95 ,-4.92%,-10.05%
Acyclovir ,Acyclovir ,Zydus Pharmaceu ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$1,779.41 ","7,089",143,130,$0.25 ,$12.44 ,$13.69 ,"$179,199.37 ","864,458","15,375","7,142",$0.21 ,$11.66 ,$25.09 ,"$1,044,722.85 ","4,770,349","71,214","41,523",$0.22 ,$14.67 ,$25.16 ,5.30%,-5.82%
Acyclovir Sodium ,Acyclovir Sodium ,App/Fresenius K ,"$68,907.49 ","69,876",276,145,$0.99 ,$249.66 ,$475.22 ,"$75,767.42 ","94,439",314,150,$0.80 ,$241.30 ,$505.12 ,"$76,966.23 ","87,798",290,130,$0.88 ,$265.40 ,$592.05 ,"$55,929.53 ","82,355",240,102,$0.68 ,$233.04 ,$548.33 ,"$50,371.52 ","100,771",219,78,$0.50 ,$230.01 ,$645.79 ,-26.40%,-15.62%
Acyclovir Sodium ,Acyclovir Sodium ,Auromedics Phar ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$9,204.27 ","11,933",41,20,$0.77 ,$224.49 ,$460.21 ,"$14,150.11 ","21,346",72,36,$0.66 ,$196.53 ,$393.06 ,"$25,356.93 ","49,290",122,49,$0.51 ,$207.84 ,$517.49 ,-22.39%,-18.33%
Aczone ,Dapsone ,Allergan Inc. ,"$901,728.54 ","157,937","3,256","1,772",$5.71 ,$276.94 ,$508.88 ,"$1,605,481.41 ","259,055","4,799","2,705",$6.20 ,$334.54 ,$593.52 ,"$2,426,514.68 ","358,756","6,574","3,498",$6.76 ,$369.11 ,$693.69 ,"$2,003,689.84 ","270,478","4,797","2,573",$7.41 ,$417.70 ,$778.74 ,"$1,810,947.97 ","227,040","3,631","1,894",$7.98 ,$498.75 ,$956.15 ,7.67%,8.72%
